gift_budget_medium,"Bạn muốn chọn quà tầm trung, những món sau rất phù hợp."
gift_budget_medium,"Bạn muốn chọn tặng phẩm tầm trung, những món sau rất phù hợp.!"
gift_budget_medium,"Bạn muốn chọn quà tặng tầm trung, những món sau rất phù hợp. nhé!"
gift_budget_high,"Bạn muốn chọn quà cao cấp, mình gợi ý những món sang trọng."
gift_budget_high,"Bạn muốn chọn món quà cao cấp, mình gợi ý những món sang trọng.!"
gift_budget_high,"Bạn muốn chọn tặng phẩm cao cấp, mình gợi ý những món sang trọng.!"
gift_budget_high,"Bạn muốn chọn món quà cao cấp, mình gợi ý những món sang trọng. 😊"
gift_budget_high,"Bạn muốn chọn quà tặng cao cấp, mình gợi ý những món sang trọng. nhé!"
gift_budget_high,"Bạn muốn chọn quà tặng cao cấp, mình gợi ý những món sang trọng. 😊"
store_holiday_schedule,"Cửa hàng sẽ nghỉ lễ vào các ngày 1/1, 30/4, 1/5 và 2/9.!"
store_holiday_schedule,"Cửa hàng sẽ nghỉ lễ vào các ngày 1/1, 30/4, 1/5 và 2/9. nhé!"
store_holiday_schedule,"Cửa hàng sẽ nghỉ lễ vào các ngày 1/1, 30/4, 1/5 và 2/9."
product_care_instructions,Bạn nên vệ sinh đồ bằng khăn mềm và tránh nước trực tiếp. 😊
product_care_instructions,Bạn nên vệ sinh món hàng bằng khăn mềm và tránh nước trực tiếp.!
product_care_instructions,Bạn nên vệ sinh đồ bằng khăn mềm và tránh nước trực tiếp.!
product_care_instructions,Bạn nên vệ sinh mặt hàng bằng khăn mềm và tránh nước trực tiếp. 😊
product_care_instructions,Bạn nên vệ sinh sản phẩm bằng khăn mềm và tránh nước trực tiếp.
product_care_instructions,Bạn nên vệ sinh mặt hàng bằng khăn mềm và tránh nước trực tiếp. nhé!
gift_personalization,Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên sản phẩm.
gift_personalization,Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên đồ. nhé!
gift_personalization,Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên đồ. 😊
gift_personalization,Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên mặt hàng. 😊
gift_personalization,Chúng tôi có dịch vụ khắc tên hoặc ghi thông điệp lên mặt hàng. nhé!
product_comparison,Bạn muốn so sánh đồ nào với nhau? 😊
product_comparison,Bạn muốn so sánh món hàng nào với nhau? 😊
product_comparison,Bạn muốn so sánh sản phẩm nào với nhau?
product_comparison,Bạn muốn so sánh đồ nào với nhau? nhé!
pre_order_info,"Một số sản phẩm mới có thể đặt trước, bạn muốn đặt không?"
pre_order_info,"Một số món hàng mới có thể đặt trước, bạn muốn đặt không?!"
pre_order_info,"Một số mặt hàng mới có thể đặt trước, bạn muốn đặt không? 😊"
pre_order_info,"Một số đồ mới có thể đặt trước, bạn muốn đặt không?!"
pre_order_info,"Một số mặt hàng mới có thể đặt trước, bạn muốn đặt không?!"
special_packaging,Chúng tôi có bao bì tặng phẩm đặc biệt cho dịp lễ. nhé!
special_packaging,Chúng tôi có bao bì món quà đặc biệt cho dịp lễ.!
special_packaging,Chúng tôi có bao bì tặng phẩm đặc biệt cho dịp lễ.!
special_packaging,Chúng tôi có bao bì quà đặc biệt cho dịp lễ.
special_packaging,Chúng tôi có bao bì quà tặng đặc biệt cho dịp lễ. 😊
bulk_discount,"Mua nhiều món hàng sẽ được giảm chi phí, bạn có muốn biết chi tiết? nhé!"
bulk_discount,"Mua nhiều mặt hàng sẽ được giảm chi phí, bạn có muốn biết chi tiết? nhé!"
bulk_discount,"Mua nhiều sản phẩm sẽ được giảm giá, bạn có muốn biết chi tiết?"
bulk_discount,"Mua nhiều đồ sẽ được giảm chi phí, bạn có muốn biết chi tiết? 😊"
bulk_discount,"Mua nhiều đồ sẽ được giảm giá tiền, bạn có muốn biết chi tiết?!"
bulk_discount,"Mua nhiều món hàng sẽ được giảm mức giá, bạn có muốn biết chi tiết? nhé!"
membership_discount,Thành viên cửa hàng sẽ được ưu đãi thêm 5%.
membership_discount,Thành viên cửa hàng sẽ được ưu đãi thêm 5%.!
membership_discount,Thành viên cửa hàng sẽ được ưu đãi thêm 5%. 😊
membership_discount,Thành viên cửa hàng sẽ được ưu đãi thêm 5%. nhé!
order_tracking,Bạn có thể theo dõi đơn hàng qua link chúng tôi gửi. nhé!
order_tracking,Bạn có thể theo dõi đơn hàng qua link chúng tôi gửi.
order_tracking,Bạn có thể theo dõi đơn hàng qua link chúng tôi gửi. 😊
payment_installment,Chúng tôi hỗ trợ thanh toán trả góp với lãi suất 0%.!
payment_installment,Chúng tôi hỗ trợ thanh toán trả góp với lãi suất 0%.
payment_installment,Chúng tôi hỗ trợ thanh toán trả góp với lãi suất 0%. 😊
payment_installment,Chúng tôi hỗ trợ thanh toán trả góp với lãi suất 0%. nhé!
product_origin,"Sản phẩm được nhập khẩu từ Nhật Bản, Hàn Quốc, Việt Nam...!"
product_origin,"Sản phẩm được nhập khẩu từ Nhật Bản, Hàn Quốc, Việt Nam..."
product_origin,"Sản phẩm được nhập khẩu từ Nhật Bản, Hàn Quốc, Việt Nam... 😊"
product_certification,Sản phẩm có giấy chứng nhận chất lượng. nhé!
product_certification,Sản phẩm có giấy chứng nhận chất lượng.!
product_certification,Sản phẩm có giấy chứng nhận chất lượng.
return_condition,"Sản phẩm phải còn nguyên vẹn, chưa qua sử dụng để được đổi trả. nhé!"
return_condition,"Sản phẩm phải còn nguyên vẹn, chưa qua sử dụng để được đổi trả."
return_condition,"Sản phẩm phải còn nguyên vẹn, chưa qua sử dụng để được đổi trả. 😊"
gift_suggestion_for_kid,"Bạn muốn tặng trẻ em, mình gợi ý những món dễ thương và an toàn.!"
gift_suggestion_for_kid,"Bạn muốn tặng trẻ em, mình gợi ý những món dễ thương và an toàn. nhé!"
gift_suggestion_for_kid,"Bạn muốn tặng trẻ em, mình gợi ý những món dễ thương và an toàn."
gift_suggestion_for_teen,"Bạn muốn tặng tuổi teen, mình có vài gợi ý phong cách."
gift_suggestion_for_teen,"Bạn muốn tặng tuổi teen, mình có vài gợi ý phong cách.!"
gift_suggestion_for_teen,"Bạn muốn tặng tuổi teen, mình có vài gợi ý phong cách. 😊"
gift_suggestion_for_adult,"Bạn muốn tặng người lớn, đây là những món phổ biến."
gift_suggestion_for_adult,"Bạn muốn tặng người lớn, đây là những món phổ biến. nhé!"
gift_suggestion_for_adult,"Bạn muốn tặng người lớn, đây là những món phổ biến.!"
gift_suggestion_for_adult,"Bạn muốn tặng người lớn, đây là những món phổ biến. 😊"
gift_suggestion_for_travel,"Nếu bạn muốn tặng người thích đi du lịch, những món sau phù hợp. nhé!"
gift_suggestion_for_travel,"Nếu bạn muốn tặng người thích đi du lịch, những món sau phù hợp. 😊"
gift_suggestion_for_travel,"Nếu bạn muốn tặng người thích đi du lịch, những món sau phù hợp."
product_set_offer,"Một số sản phẩm bán theo bộ, bạn có muốn mua cả bộ không?"
product_set_offer,"Một số mặt hàng bán theo bộ, bạn có muốn sắm cả bộ không? nhé!"
product_set_offer,"Một số món hàng bán theo bộ, bạn có muốn sắm cả bộ không?!"
product_set_offer,"Một số mặt hàng bán theo bộ, bạn có muốn tậu cả bộ không?!"
product_set_offer,"Một số món hàng bán theo bộ, bạn có muốn sắm cả bộ không? nhé!"
product_set_offer,"Một số mặt hàng bán theo bộ, bạn có muốn mua sắm cả bộ không?!"
gift_wrapping_fee,"Gói quà có phí 10.000 VND, bạn có muốn thêm không?"
gift_wrapping_fee,"Gói quà tặng có phí 10.000 VND, bạn có muốn thêm không? nhé!"
gift_wrapping_fee,"Gói quà tặng có phí 10.000 VND, bạn có muốn thêm không? 😊"
gift_wrapping_fee,"Gói món quà có phí 10.000 VND, bạn có muốn thêm không? nhé!"
gift_wrapping_fee,"Gói tặng phẩm có phí 10.000 VND, bạn có muốn thêm không? nhé!"
store_event,"Sắp tới cửa hàng có workshop làm quà lưu niệm, bạn có muốn tham gia?"
store_event,"Sắp tới cửa hàng có workshop làm món quà lưu niệm, bạn có muốn tham gia?!"
store_event,"Sắp tới cửa hàng có workshop làm tặng phẩm lưu niệm, bạn có muốn tham gia?!"
store_event,"Sắp tới cửa hàng có workshop làm món quà lưu niệm, bạn có muốn tham gia? 😊"
store_event,"Sắp tới cửa hàng có workshop làm quà tặng lưu niệm, bạn có muốn tham gia?!"
subscription_service,"Chúng tôi có dịch vụ đăng ký món hàng theo tháng, bạn muốn tìm hiểu không?!"
subscription_service,"Chúng tôi có dịch vụ đăng ký món hàng theo tháng, bạn muốn tìm hiểu không? 😊"
subscription_service,"Chúng tôi có dịch vụ đăng ký món hàng theo tháng, bạn muốn tìm hiểu không? nhé!"
subscription_service,"Chúng tôi có dịch vụ đăng ký đồ theo tháng, bạn muốn tìm hiểu không?!"
subscription_service,"Chúng tôi có dịch vụ đăng ký sản phẩm theo tháng, bạn muốn tìm hiểu không?"
gift_occasion_new_year,"Nếu dịp Tết, mình gợi ý những món quà tặng may mắn và phong thủy. nhé!"
gift_occasion_new_year,"Nếu dịp Tết, mình gợi ý những món tặng phẩm may mắn và phong thủy. 😊"
gift_occasion_new_year,"Nếu dịp Tết, mình gợi ý những món quà may mắn và phong thủy."
gift_occasion_new_year,"Nếu dịp Tết, mình gợi ý những món món quà may mắn và phong thủy.!"
gift_occasion_valentine,"Nếu dịp Valentine, đây là các món món quà ý nghĩa cho người yêu. 😊"
gift_occasion_valentine,"Nếu dịp Valentine, đây là các món quà ý nghĩa cho người yêu."
gift_occasion_valentine,"Nếu dịp Valentine, đây là các món món quà ý nghĩa cho người yêu.!"
gift_occasion_valentine,"Nếu dịp Valentine, đây là các món món quà ý nghĩa cho người yêu. nhé!"
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món tặng phẩm sau...!"
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món quà tặng sau...!"
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món quà tặng sau... 😊"
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món quà sau..."
gift_occasion_mother_day,"Nếu dịp Ngày của Mẹ, bạn có thể chọn những món tặng phẩm sau... 😊"
gift_occasion_father_day,"Nếu dịp Ngày của Bố, bạn có thể tham khảo những món sau...!"
gift_occasion_father_day,"Nếu dịp Ngày của Bố, bạn có thể tham khảo những món sau... nhé!"
gift_occasion_father_day,"Nếu dịp Ngày của Bố, bạn có thể tham khảo những món sau..."
customer_support_online,Bạn có thể chat trực tiếp với nhân viên để được hỗ trợ nhanh.!
customer_support_online,Bạn có thể chat trực tiếp với nhân viên để được hỗ trợ nhanh. 😊
customer_support_online,Bạn có thể chat trực tiếp với nhân viên để được hỗ trợ nhanh. nhé!
customer_support_online,Bạn có thể chat trực tiếp với nhân viên để được hỗ trợ nhanh.
feedback_positive,Cảm ơn bạn đã phản hồi tích cực! 😊
feedback_positive,Cảm ơn bạn đã phản hồi tích cực!
feedback_positive,Cảm ơn bạn đã phản hồi tích cực! nhé!
feedback_positive,Cảm ơn bạn đã phản hồi tích cực!!
feedback_negative,Mình đã ghi nhận phản hồi của bạn và sẽ cải thiện dịch vụ.!
feedback_negative,Mình đã ghi nhận phản hồi của bạn và sẽ cải thiện dịch vụ.
product_return_address,Bạn có thể gửi đồ về địa chỉ cửa hàng để đổi trả. 😊
product_return_address,Bạn có thể gửi mặt hàng về địa chỉ cửa hàng để đổi trả.!
product_return_address,Bạn có thể gửi sản phẩm về địa chỉ cửa hàng để đổi trả.
product_return_address,Bạn có thể gửi món hàng về địa chỉ cửa hàng để đổi trả. nhé!
product_return_address,Bạn có thể gửi mặt hàng về địa chỉ cửa hàng để đổi trả. 😊
product_return_address,Bạn có thể gửi mặt hàng về địa chỉ cửa hàng để đổi trả. nhé!
product_warranty,Sản phẩm có bảo hành 6 tháng kể từ ngày tậu.!
product_warranty,Sản phẩm có bảo hành 6 tháng kể từ ngày mua.
product_warranty,Sản phẩm có bảo hành 6 tháng kể từ ngày mua sắm.!
product_warranty,Sản phẩm có bảo hành 6 tháng kể từ ngày tậu. 😊
product_warranty,Sản phẩm có bảo hành 6 tháng kể từ ngày sắm.!
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho đồ? nhé!
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho món hàng?!
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho mặt hàng?!
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho sản phẩm?
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho đồ? 😊
product_custom_request,Bạn muốn thay đổi thiết kế hay thêm chi tiết gì cho món hàng? 😊
order_cancellation,Bạn có thể hủy đơn hàng trước khi sản phẩm được giao.
